wall_t,loop_idx,infer_ms,loop_dt_ms,loop_hz,e2e_latency_ms,detected,vision_fps
1781860857.171251,0,2693.201,0.000,0.000,2810.346,1,459.650
1781860857.193508,1,0.000,22.258,44.928,0.000,0,40.928
1781860857.215472,2,0.000,21.964,45.529,0.000,0,21.553
1781860857.237249,3,0.000,21.777,45.920,0.000,0,14.668
1781860857.258976,4,0.000,21.727,46.027,0.000,0,11.123
1781860857.281173,5,0.000,22.197,45.051,0.000,0,8.921
1781860857.303520,6,0.000,22.347,44.748,0.000,0,7.438
1781860857.326180,7,0.000,22.660,44.131,0.000,0,6.365
1781860857.348418,8,182.739,22.238,44.967,208.290,1,11.152
1781860857.370746,9,0.000,22.328,44.787,0.000,0,9.917
1781860857.392763,10,0.000,22.017,45.420,0.000,0,8.941
1781860857.414882,11,0.000,22.119,45.210,0.000,0,8.136
1781860857.437172,12,0.000,22.290,44.864,0.000,0,7.460
1781860857.459791,13,0.000,22.619,44.211,0.000,0,6.880
1781860857.481678,14,0.000,21.887,45.689,0.000,0,6.398
1781860857.503908,15,0.000,22.230,44.985,0.000,0,5.973
1781860857.525779,16,0.000,21.871,45.722,0.000,0,5.607
1781860857.547639,17,0.000,21.860,45.745,0.000,0,5.283
1781860857.569521,18,189.929,21.882,45.699,209.217,1,7.492
1781860857.591417,19,0.000,21.896,45.671,0.000,0,7.103
1781860857.613362,20,0.000,21.945,45.568,0.000,0,6.752
1781860857.635164,21,0.000,21.802,45.866,0.000,0,6.437
1781860857.657006,22,0.000,21.842,45.783,0.000,0,6.148
1781860857.679171,23,0.000,22.165,45.116,0.000,0,5.881
1781860857.701250,24,0.000,22.079,45.292,0.000,0,5.637
1781860857.723253,25,133.719,22.003,45.448,147.656,1,7.218
1781860857.745153,26,0.000,21.899,45.663,0.000,0,6.944
1781860857.767155,27,0.000,22.002,45.450,0.000,0,6.688
1781860857.789281,28,0.000,22.127,45.194,0.000,0,6.449
1781860857.811410,29,0.000,22.129,45.189,0.000,0,6.227
1781860857.833438,30,0.000,22.028,45.397,0.000,0,6.021
1781860857.855768,31,106.114,22.329,44.784,127.379,1,7.281
1781860857.877759,32,0.000,21.991,45.472,0.000,0,7.055
1781860857.899674,33,0.000,21.915,45.630,0.000,0,6.844
1781860857.921601,34,0.000,21.927,45.607,0.000,0,6.644
1781860857.943403,35,0.000,21.802,45.867,0.000,0,6.457
1781860857.965144,36,0.000,21.741,45.996,0.000,0,6.281
1781860857.987273,37,106.930,22.129,45.190,133.320,1,7.333
1781860858.009150,38,0.000,21.877,45.710,0.000,0,7.142
1781860858.031024,39,0.000,21.873,45.718,0.000,0,6.961
1781860858.052888,40,0.000,21.864,45.736,0.000,0,6.789
1781860858.074914,41,0.000,22.026,45.402,0.000,0,6.624
1781860858.096762,42,107.276,21.849,45.769,115.479,1,7.546
1781860858.118803,43,0.000,22.041,45.371,0.000,0,7.371
1781860858.140513,44,0.000,21.710,46.062,0.000,0,7.206
1781860858.162629,45,0.000,22.116,45.216,0.000,0,7.045
1781860858.184386,46,0.000,21.757,45.962,0.000,0,6.894
1781860858.206197,47,0.000,21.811,45.849,0.000,0,6.749
1781860858.228278,48,107.741,22.081,45.287,118.288,1,7.553
1781860858.250270,49,0.000,21.992,45.471,0.000,0,7.399
1781860858.272016,50,0.000,21.746,45.985,0.000,0,7.253
1781860858.294059,51,0.000,22.042,45.367,0.000,0,7.111
1781860858.315789,52,0.000,21.731,46.018,0.000,0,6.976
1781860858.337521,53,0.000,21.732,46.015,0.000,0,6.847
1781860858.359430,54,108.751,21.909,45.644,122.221,1,7.561
1781860858.381666,55,0.000,22.236,44.972,0.000,0,7.422
1781860858.403744,56,0.000,22.078,45.293,0.000,0,7.289
1781860858.425637,57,0.000,21.894,45.676,0.000,0,7.162
1781860858.447909,58,0.000,22.271,44.901,0.000,0,7.038
1781860858.469756,59,0.000,21.847,45.773,0.000,0,6.919
1781860858.491912,60,107.489,22.156,45.134,125.779,1,7.560
1781860858.513947,61,0.000,22.035,45.383,0.000,0,7.436
1781860858.535772,62,0.000,21.826,45.818,0.000,0,7.317
1781860858.557393,63,0.000,21.620,46.253,0.000,0,7.203
1781860858.579054,64,0.000,21.661,46.166,0.000,0,7.092
1781860858.600610,65,0.000,21.556,46.390,0.000,0,6.986
1781860858.622651,66,107.363,22.041,45.370,129.330,1,7.568
1781860858.644496,67,0.000,21.845,45.777,0.000,0,7.455
1781860858.666182,68,0.000,21.686,46.113,0.000,0,7.348
1781860858.687780,69,0.000,21.599,46.299,0.000,0,7.243
1781860858.709446,70,0.000,21.666,46.156,0.000,0,7.141
1781860858.731221,71,0.000,21.775,45.923,0.000,0,7.042
1781860858.753289,72,108.118,22.067,45.316,133.738,1,7.575
1781860858.775126,73,0.000,21.838,45.792,0.000,0,7.472
1781860858.796771,74,0.000,21.645,46.200,0.000,0,7.372
1781860858.818405,75,0.000,21.634,46.224,0.000,0,7.276
1781860858.840101,76,0.000,21.696,46.092,0.000,0,7.181
